Predicate	ObjectType	Count
http://www.wikidata.org/prop/direct/P21	http://www.wikidata.org/entity/Q48264	104
http://www.wikidata.org/prop/direct/P21	http://www.wikidata.org/entity/Q4369513	104
http://www.wikidata.org/prop/direct/P31	http://www.wikidata.org/entity/Q55983715	104
http://www.wikidata.org/prop/direct/P106	http://www.wikidata.org/entity/Q28640	85
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q34770	82
http://www.wikidata.org/prop/direct/P910	http://www.wikidata.org/entity/Q4167836	80
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q1288568	77
http://www.wikidata.org/prop/direct/P734	http://www.wikidata.org/entity/Q101352	75
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q186165	70
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q12038942	70
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q3624078	69
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q6256	67
http://www.wikidata.org/prop/direct/P26	http://www.wikidata.org/entity/Q5	63
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q33742	59
http://www.wikidata.org/prop/direct/P735	http://www.wikidata.org/entity/Q12308941	56
http://www.wikidata.org/prop/direct/P40	http://www.wikidata.org/entity/Q5	51
http://www.wikidata.org/prop/direct/P106	http://www.wikidata.org/entity/Q12737077	41
http://www.wikidata.org/prop/direct/P22	http://www.wikidata.org/entity/Q5	39
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q618779	37
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q1520223	34
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q5255892	34
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q43702	34
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q1489259	34
http://www.wikidata.org/prop/direct/P3373	http://www.wikidata.org/entity/Q5	33
http://www.wikidata.org/prop/direct/P6886	http://www.wikidata.org/entity/Q34770	30
http://www.wikidata.org/prop/direct/P6886	http://www.wikidata.org/entity/Q1288568	29
http://www.wikidata.org/prop/direct/P25	http://www.wikidata.org/entity/Q5	25
http://www.wikidata.org/prop/direct/P6886	http://www.wikidata.org/entity/Q33742	23
http://www.wikidata.org/prop/direct/P39	http://www.wikidata.org/entity/Q4164871	22
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q5292	20
http://www.wikidata.org/prop/direct/P19	http://www.wikidata.org/entity/Q1549591	19
http://www.wikidata.org/prop/direct/P509	http://www.wikidata.org/entity/Q12136	17
http://www.wikidata.org/prop/direct/P102	http://www.wikidata.org/entity/Q7278	17
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q3331189	16
http://www.wikidata.org/prop/direct/P172	http://www.wikidata.org/entity/Q41710	16
http://www.wikidata.org/prop/direct/P106	http://www.wikidata.org/entity/Q4220920	16
http://www.wikidata.org/prop/direct/P103	http://www.wikidata.org/entity/Q34770	15
http://www.wikidata.org/prop/direct/P103	http://www.wikidata.org/entity/Q1288568	14
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q975413	13
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q3024240	12
http://www.wikidata.org/prop/direct/P1196	http://www.wikidata.org/entity/Q2438541	12
http://www.wikidata.org/prop/direct/P19	http://www.wikidata.org/entity/Q1093829	12
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q60754876	11
http://www.wikidata.org/prop/direct/P106	http://www.wikidata.org/entity/Q66715801	11
http://www.wikidata.org/prop/direct/P103	http://www.wikidata.org/entity/Q33742	11
http://www.wikidata.org/prop/direct/P5008	http://www.wikidata.org/entity/Q21025364	10
http://www.wikidata.org/prop/direct/P937	http://www.wikidata.org/entity/Q5119	9
http://www.wikidata.org/prop/direct/P737	http://www.wikidata.org/entity/Q5	9
http://www.wikidata.org/prop/direct/P937	http://www.wikidata.org/entity/Q1549591	9
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q1549591	8
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q131647	8
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q193622	8
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q879146	8
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q1093829	6
http://www.wikidata.org/prop/direct/P800	http://www.wikidata.org/entity/Q47461344	6
http://www.wikidata.org/prop/direct/P937	http://www.wikidata.org/entity/Q1093829	6
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q23002054	6
http://www.wikidata.org/prop/direct/P1066	http://www.wikidata.org/entity/Q5	6
http://www.wikidata.org/prop/direct/P136	http://www.wikidata.org/entity/Q188451	5
http://www.wikidata.org/prop/direct/P607	http://www.wikidata.org/entity/Q103495	5
http://www.wikidata.org/prop/direct/P552	http://www.wikidata.org/entity/Q10927834	5
