Iri1	Iri2	String1	String2	Similarity
http://www.wikidata.org/entity/Q9960	http://www.wikidata.org/entity/Q76	Ronald Reagan	Barack Obama	0.8
http://www.wikidata.org/entity/Q8007	http://www.wikidata.org/entity/Q9960	Franklin D. Roosevelt	Ronald Reagan	0.8
http://www.wikidata.org/entity/Q91	http://www.wikidata.org/entity/Q517	Abraham Lincoln	Napoleon	0.8
http://www.wikidata.org/entity/Q34296	http://www.wikidata.org/entity/Q23685	Woodrow Wilson	Jimmy Carter	0.8
http://www.wikidata.org/entity/Q40787	http://www.wikidata.org/entity/Q8007	Nicholas II of Russia	Franklin D. Roosevelt	0.6666666666666666
http://www.wikidata.org/entity/Q35332	http://www.wikidata.org/entity/Q38111	Brad Pitt	Leonardo DiCaprio	0.6666666666666666
http://www.wikidata.org/entity/Q8016	http://www.wikidata.org/entity/Q9640	Winston Churchill	Lyndon B. Johnson	0.5
http://www.wikidata.org/entity/Q9545	http://www.wikidata.org/entity/Q9696	Tony Blair	John F. Kennedy	0.5
http://www.wikidata.org/entity/Q76	http://www.wikidata.org/entity/Q10390	Barack Obama	John McCain	0.5
http://www.wikidata.org/entity/Q5685	http://www.wikidata.org/entity/Q30875	Anton Chekhov	Oscar Wilde	0.5
http://www.wikidata.org/entity/Q91	http://www.wikidata.org/entity/Q463557	Abraham Lincoln	Rand Paul	0.5
http://www.wikidata.org/entity/Q72653	http://www.wikidata.org/entity/Q23434	Danielle Steel	Ernest Hemingway	0.5
http://www.wikidata.org/entity/Q483118	http://www.wikidata.org/entity/Q228692	Ben Affleck	Rosario Dawson	0.5
http://www.wikidata.org/entity/Q211987	http://www.wikidata.org/entity/Q310618	Jon Stewart	Glenn Beck	0.4444444444444444
http://www.wikidata.org/entity/Q9535	http://www.wikidata.org/entity/Q100937	Shah Rukh Khan	Fred Astaire	0.4
http://www.wikidata.org/entity/Q36322	http://www.wikidata.org/entity/Q16867	Jane Austen	Edgar Allan Poe	0.4
http://www.wikidata.org/entity/Q76	http://www.wikidata.org/entity/Q6294	Barack Obama	Hillary Rodham Clinton	0.4
http://www.wikidata.org/entity/Q30875	http://www.wikidata.org/entity/Q19526	Oscar Wilde	Maya Angelou	0.38095238095238093
http://www.wikidata.org/entity/Q22316	http://www.wikidata.org/entity/Q48259	John Kerry	Dick Cheney	0.3333333333333333
http://www.wikidata.org/entity/Q4616	http://www.wikidata.org/entity/Q35332	Marilyn Monroe	Brad Pitt	0.3333333333333333
http://www.wikidata.org/entity/Q10648	http://www.wikidata.org/entity/Q9640	Gordon Brown	Lyndon B. Johnson	0.3333333333333333
http://www.wikidata.org/entity/Q9640	http://www.wikidata.org/entity/Q22316	Lyndon B. Johnson	John Kerry	0.3333333333333333
http://www.wikidata.org/entity/Q100937	http://www.wikidata.org/entity/Q237287	Fred Astaire	Carol Channing	0.3333333333333333
http://www.wikidata.org/entity/Q37001	http://www.wikidata.org/entity/Q8006	Toshiro Mifune	Akira Kurosawa	0.3333333333333333
http://www.wikidata.org/entity/Q296647	http://www.wikidata.org/entity/Q76716	Ralph Lauren	Karl Lagerfeld	0.3333333333333333
http://www.wikidata.org/entity/Q1124	http://www.wikidata.org/entity/Q10648	Bill Clinton	Gordon Brown	0.3333333333333333
http://www.wikidata.org/entity/Q991	http://www.wikidata.org/entity/Q272076	Fyodor Dostoyevsky	Dean Koontz	0.3076923076923077
http://www.wikidata.org/entity/Q16297	http://www.wikidata.org/entity/Q110154	William Shatner	George Takei	0.3076923076923077
http://www.wikidata.org/entity/Q1176577	http://www.wikidata.org/entity/Q103949	David Sedaris	Buster Keaton	0.2857142857142857
http://www.wikidata.org/entity/Q11860	http://www.wikidata.org/entity/Q9960	Silvio Berlusconi	Ronald Reagan	0.2857142857142857
http://www.wikidata.org/entity/Q33391	http://www.wikidata.org/entity/Q991	Leon Trotsky	Fyodor Dostoyevsky	0.2857142857142857
http://www.wikidata.org/entity/Q294912	http://www.wikidata.org/entity/Q83410	Richard Pryor	Cary Grant	0.2857142857142857
http://www.wikidata.org/entity/Q38119	http://www.wikidata.org/entity/Q175535	Daniel Radcliffe	Matt Damon	0.2857142857142857
http://www.wikidata.org/entity/Q303	http://www.wikidata.org/entity/Q2680	Elvis Presley	Bruce Willis	0.2857142857142857
http://www.wikidata.org/entity/Q259507	http://www.wikidata.org/entity/Q132524	bell hooks	Ayn Rand	0.25
http://www.wikidata.org/entity/Q204077	http://www.wikidata.org/entity/Q23844	Cao Cao	George Clooney	0.25
http://www.wikidata.org/entity/Q1203	http://www.wikidata.org/entity/Q9535	John Lennon	Shah Rukh Khan	0.25
http://www.wikidata.org/entity/Q33391	http://www.wikidata.org/entity/Q44279	Leon Trotsky	Oliver Cromwell	0.25
http://www.wikidata.org/entity/Q203960	http://www.wikidata.org/entity/Q13909	James Earl Jones	Angelina Jolie	0.2222222222222222
http://www.wikidata.org/entity/Q7996	http://www.wikidata.org/entity/Q150651	Ivan the Terrible	George Carlin	0.2222222222222222
http://www.wikidata.org/entity/Q9061	http://www.wikidata.org/entity/Q855	Karl Marx	Joseph Stalin	0.2222222222222222
http://www.wikidata.org/entity/Q294912	http://www.wikidata.org/entity/Q6107	Richard Pryor	Tupac Shakur	0.18181818181818182
http://www.wikidata.org/entity/Q19526	http://www.wikidata.org/entity/Q259507	Maya Angelou	bell hooks	0.14285714285714285
http://www.wikidata.org/entity/Q34660	http://www.wikidata.org/entity/Q937	J. K. Rowling	Albert Einstein	0.125
http://www.wikidata.org/entity/Q8027	http://www.wikidata.org/entity/Q937	Martin Luther King, Jr.	Albert Einstein	0.125
http://www.wikidata.org/entity/Q34086	http://www.wikidata.org/entity/Q7235	Justin Bieber	Sophocles	0.0
http://www.wikidata.org/entity/Q5679	http://www.wikidata.org/entity/Q36107	Lord Byron	Muhammad Ali	0.0
http://www.wikidata.org/entity/Q392	http://www.wikidata.org/entity/Q9545	Bob Dylan	Tony Blair	0.0
http://www.wikidata.org/entity/Q615	http://www.wikidata.org/entity/Q34417	Lionel Messi	Philip II of spain	0.0
http://www.wikidata.org/entity/Q39212	http://www.wikidata.org/entity/Q1835	John Steinbeck	Zinedine Zidane	0.0
http://www.wikidata.org/entity/Q49575	http://www.wikidata.org/entity/Q6294	Dizzy Gillespie	Hillary Rodham Clinton	0.0
http://www.wikidata.org/entity/Q72653	http://www.wikidata.org/entity/Q355388	Danielle Steel	Dale Earnhardt, Jr.	0.0
http://www.wikidata.org/entity/Q9439	http://www.wikidata.org/entity/Q41548	Queen Victoria	Antonio Banderas	0.0
http://www.wikidata.org/entity/Q312348	http://www.wikidata.org/entity/Q615	Thurgood Marshall	Lionel Messi	0.0
http://www.wikidata.org/entity/Q76716	http://www.wikidata.org/entity/Q5679	Karl Lagerfeld	Lord Byron	0.0
http://www.wikidata.org/entity/Q40787	http://www.wikidata.org/entity/Q16867	Nicholas II of Russia	Edgar Allan Poe	0.0
http://www.wikidata.org/entity/Q676555	http://www.wikidata.org/entity/Q2632	Francis of Assisi	Ringo Starr	0.0
http://www.wikidata.org/entity/Q1339	http://www.wikidata.org/entity/Q40787	Johann Sebastian Bach	Nicholas II of Russia	0.0
http://www.wikidata.org/entity/Q8016	http://www.wikidata.org/entity/Q130742	Winston Churchill	Alanis Morissette	0.0
http://www.wikidata.org/entity/Q5928	http://www.wikidata.org/entity/Q13909	Jimi Hendrix	Angelina Jolie	0.0
http://www.wikidata.org/entity/Q186256	http://www.wikidata.org/entity/Q10993	Ferdinand VII of Spain	Tiger Woods	0.0
http://www.wikidata.org/entity/Q234606	http://www.wikidata.org/entity/Q9441	Martha Stewart	Gautama Buddha	0.0
http://www.wikidata.org/entity/Q692	http://www.wikidata.org/entity/Q47059	William Shakespeare	Aishwarya Rai	0.0
http://www.wikidata.org/entity/Q83492	http://www.wikidata.org/entity/Q43347	Gary Oldman	Rumi	0.0
http://www.wikidata.org/entity/Q350213	http://www.wikidata.org/entity/Q2632	Magnus V of Norway	Ringo Starr	0.0
http://www.wikidata.org/entity/Q76	http://www.wikidata.org/entity/Q26876	Barack Obama	Taylor Swift	0.0
http://www.wikidata.org/entity/Q204077	http://www.wikidata.org/entity/Q313381	Cao Cao	Tom Brady	0.0
http://www.wikidata.org/entity/Q9439	http://www.wikidata.org/entity/Q103876	Queen Victoria	Peter O'Toole	0.0
http://www.wikidata.org/entity/Q11820	http://www.wikidata.org/entity/Q9682	Martin van Buren	Elizabeth II	0.0
http://www.wikidata.org/entity/Q204077	http://www.wikidata.org/entity/Q9441	Cao Cao	Gautama Buddha	0.0
http://www.wikidata.org/entity/Q79789	http://www.wikidata.org/entity/Q72653	Frederick I, Holy Roman Emperor	Danielle Steel	0.0
http://www.wikidata.org/entity/Q34660	http://www.wikidata.org/entity/Q127330	J. K. Rowling	Frank Zappa	0.0
http://www.wikidata.org/entity/Q1048	http://www.wikidata.org/entity/Q7235	Julius Caesar	Sophocles	0.0
http://www.wikidata.org/entity/Q22316	http://www.wikidata.org/entity/Q2643	John Kerry	George Harrison	0.0
http://www.wikidata.org/entity/Q1048	http://www.wikidata.org/entity/Q40930	Julius Caesar	Nefertiti	0.0
http://www.wikidata.org/entity/Q8027	http://www.wikidata.org/entity/Q41921	Martin Luther King, Jr.	Rosa Parks	0.0
http://www.wikidata.org/entity/Q615	http://www.wikidata.org/entity/Q353511	Lionel Messi	Derek Jeter	0.0
