Term1	Term2	String1	String2	wikidata_iri_1	wikidata_iri_2	Mean	StdDev	RawScores
iraq	iran	Iraq	Iran	http://www.wikidata.org/entity/Q796	http://www.wikidata.org/entity/Q794	90.8	7.1386	[100, 90, 89, 96, 79]
italy	france	Italy	France	http://www.wikidata.org/entity/Q38	http://www.wikidata.org/entity/Q142	89.0	6.8191	[79, 91, 98, 88]
norway	denmark	Norway	Denmark	http://www.wikidata.org/entity/Q20	http://www.wikidata.org/entity/Q35	74.5	9.1241	[75, 60, 78, 85]
singapore	laos	Singapore	Laos	http://www.wikidata.org/entity/Q334	http://www.wikidata.org/entity/Q819	71.5	21.6852	[79, 100, 40, 67]
nepal	sudan	Nepal	Sudan	http://www.wikidata.org/entity/Q837	http://www.wikidata.org/entity/Q1049	67.5	31.6662	[14, 92, 74, 90]
burkina_faso	democratic_republic_of_the_congo	Burkina Faso	Democratic Republic of the Congo	http://www.wikidata.org/entity/Q965	http://www.wikidata.org/entity/Q974	65.8	33.6951	[71, 78, 90, 0, 90]
kyrgyzstan	turkey	Kyrgyzstan	Turkey	http://www.wikidata.org/entity/Q813	http://www.wikidata.org/entity/Q43	65.2	14.9452	[76, 40, 76, 78, 56]
guatemala	dominican_republic	Guatemala	Dominican Republic	http://www.wikidata.org/entity/Q774	http://www.wikidata.org/entity/Q786	65.0	33.9352	[75, 97, 0, 68, 85]
algeria	france	Algeria	France	http://www.wikidata.org/entity/Q262	http://www.wikidata.org/entity/Q142	63.0	36.9932	[0, 94, 83, 75]
iran	afghanistan	Iran	Afghanistan	http://www.wikidata.org/entity/Q794	http://www.wikidata.org/entity/Q889	62.0	25.4853	[54, 81, 89, 24]
ghana	france	Ghana	France	http://www.wikidata.org/entity/Q117	http://www.wikidata.org/entity/Q142	54.0	30.8707	[3, 59, 69, 85]
united_kingdom	ethiopia	United Kingdom	Ethiopia	http://www.wikidata.org/entity/Q145	http://www.wikidata.org/entity/Q115	52.25	39.7516	[0, 100, 29, 80]
united_kingdom	barbados	United Kingdom	Barbados	http://www.wikidata.org/entity/Q145	http://www.wikidata.org/entity/Q244	50.25	25.2228	[8, 54, 68, 71]
fiji	tunisia	Fiji	Tunisia	http://www.wikidata.org/entity/Q712	http://www.wikidata.org/entity/Q948	40.2	33.4449	[0, 0, 56, 69, 76]
north_korea	the_philippines	North Korea	Philippines	http://www.wikidata.org/entity/Q423	http://www.wikidata.org/entity/Q928	19.75	33.6331	[0, 1, 78, 0]
