	Term1	Term2	String1	String2	wikidata_iri_1	wikidata_iri_2	Mean	StdDev	RawScores
0	ferrari	lamborghini	Ferrari	Lamborghini	http://www.wikidata.org/entity/Q27586	http://www.wikidata.org/entity/Q35886	97.6	2.245	[97, 100, 100, 94, 97]
1	river_kent	river_thames	River Kent	River Thames	http://www.wikidata.org/entity/Q2155507	http://www.wikidata.org/entity/Q19686	93.6	10.3653	[98, 100, 97, 73, 100]
2	ronald_reagan	barack_obama	Ronald Reagan	Barack Obama	http://www.wikidata.org/entity/Q9960	http://www.wikidata.org/entity/Q76	93.5	8.6168	[100, 79, 100, 95]
3	mount_st._helens	mount_vesuvius	Mount St. Helens	Mount vesuvius	http://www.wikidata.org/entity/Q4675		93.0	6.2849	[100, 93, 96, 83]
4	asia	china	Asia	China	http://www.wikidata.org/entity/Q48	http://www.wikidata.org/entity/Q148	92.75	6.3787	[82, 94, 97, 98]
5	modern_gallery,_zagreb	zagreb	Modern Gallery, Zagreb	Zagreb		http://www.wikidata.org/entity/Q1435	92.25	7.2241	[82, 89, 100, 98]
6	fc_dynamo_voronezh	leicester_city_f.c.	F.C. Dynamo Voronezh	Leicester City F.C.		http://www.wikidata.org/entity/Q19481	92.0	7.4833	[80, 100, 92, 96]
7	new_york_city	new_york_yankees	New York City	New York Yankees	http://www.wikidata.org/entity/Q60	http://www.wikidata.org/entity/Q213417	91.5	12.0104	[100, 95, 71, 100]
8	vladimir_putin	moscow	Vladimir Putin	Moscow	http://www.wikidata.org/entity/Q7747	http://www.wikidata.org/entity/Q649	91.4	12.6586	[91, 67, 99, 100, 100]
9	condé_nast	virgin_media	Condé Nast	Virgin Media	http://www.wikidata.org/entity/Q605401	http://www.wikidata.org/entity/Q1199764	90.8	10.4575	[96, 72, 99, 87, 100]
10	iraq	iran	Iraq	Iran	http://www.wikidata.org/entity/Q796	http://www.wikidata.org/entity/Q794	90.8	7.1386	[100, 90, 89, 96, 79]
11	rocky_mountains	himalayas	Rocky Mountains	Himalayas	http://www.wikidata.org/entity/Q5463	http://www.wikidata.org/entity/Q5451	90.75	9.833	[100, 90, 98, 75]
12	cambodia	khmer_rouge	Cambodia	Khmer Rouge	http://www.wikidata.org/entity/Q424	http://www.wikidata.org/entity/Q191764	90.75	12.1115	[70, 95, 98, 100]
13	michael_jordan	national_basketball_association	Michael Jordan	National Basketball Association	http://www.wikidata.org/entity/Q41421	http://www.wikidata.org/entity/Q155223	90.0	12.3288	[92, 66, 94, 98, 100]
14	the_louvre	paris	The Louvre	Paris	http://www.wikidata.org/entity/Q19675	http://www.wikidata.org/entity/Q90	89.8	8.3762	[89, 98, 76, 87, 99]
15	brad_pitt	leonardo_dicaprio	Brad Pitt	Leonardo DiCaprio	http://www.wikidata.org/entity/Q35332	http://www.wikidata.org/entity/Q38111	89.8	8.3042	[80, 98, 100, 81, 90]
16	volga_river	nile	Volga River	Nile	http://www.wikidata.org/entity/Q626	http://www.wikidata.org/entity/Q3392	89.75	12.0908	[94, 98, 69, 98]
17	italy	france	Italy	France	http://www.wikidata.org/entity/Q38	http://www.wikidata.org/entity/Q142	89.0	6.8191	[79, 91, 98, 88]
18	blue_ridge_mountains	catskill_mountains	Blue Ridge Mountains	Catskill Mountains	http://www.wikidata.org/entity/Q166755	http://www.wikidata.org/entity/Q630566	88.8	7.4673	[81, 100, 86, 95, 82]
19	technical_university_munich	leipzig_university	Technical University Munich	Leipzig University	http://www.wikidata.org/entity/Q157808	http://www.wikidata.org/entity/Q154804	88.75	10.2804	[72, 100, 92, 91]
20	moscow	moscow_kremlin	Moscow	Moscow Kremlin	http://www.wikidata.org/entity/Q649		88.5	14.2916	[89, 100, 100, 65]
21	university_of_missouri	university_of_north_carolina_at_greensboro	University of Missouri	University of North Carolina at Greensboro	http://www.wikidata.org/entity/Q579968	http://www.wikidata.org/entity/Q1321380	88.25	5.8041	[83, 82, 93, 95]
22	england	university_of_cambridge	England	University of Cambridge	http://www.wikidata.org/entity/Q21	http://www.wikidata.org/entity/Q35794	86.75	16.6038	[96, 96, 97, 58]
23	european_space_agency	indian_space_research_organisation	European Space Agency	Indian Space Research Organisation	http://www.wikidata.org/entity/Q42262	http://www.wikidata.org/entity/Q229058	86.5	9.0139	[78, 95, 77, 96]
24	real_madrid_c.f.	fc_barcelona	Real Madrid C.F.	FC Barcelona	http://www.wikidata.org/entity/Q8682	http://www.wikidata.org/entity/Q7156	86.5	10.1612	[96, 74, 97, 79]
25	oxfam	habitat_for_humanity	Oxfam	Habitat for Humanity	http://www.wikidata.org/entity/Q267941	http://www.wikidata.org/entity/Q1192147	86.5	10.7355	[96, 71, 97, 82]
26	bill_clinton	gordon_brown	Bill Clinton	Gordon Brown	http://www.wikidata.org/entity/Q1124	http://www.wikidata.org/entity/Q10648	86.4	11.5343	[74, 83, 100, 75, 100]
27	mount_st._helens	washington_(state)	Mount St. Helens	Washington (state)	http://www.wikidata.org/entity/Q4675	http://www.wikidata.org/entity/Q1223	86.25	15.2049	[96, 88, 100, 61]
28	university_of_toronto	university_of_california,_berkeley	University of Toronto	University of California, Berkeley	http://www.wikidata.org/entity/Q180865	http://www.wikidata.org/entity/Q168756	86.25	12.0908	[90, 98, 66, 91]
29	franklin_d._roosevelt	ronald_reagan	Franklin D. Roosevelt	Ronald Reagan	http://www.wikidata.org/entity/Q8007	http://www.wikidata.org/entity/Q9960	86.0	6.7231	[73, 87, 92, 90, 88]
30	munich	fc_bayern_munich	Munich	F.C. Bayern Munich	http://www.wikidata.org/entity/Q1726	http://www.wikidata.org/entity/Q15789	85.6	12.9399	[94, 85, 62, 87, 100]
31	tony_blair	united_kingdom	Tony Blair	United Kingdom	http://www.wikidata.org/entity/Q9545	http://www.wikidata.org/entity/Q145	85.4	13.5144	[62, 99, 87, 98, 81]
32	russia	moscow_metro	Russia	Moscow Metro	http://www.wikidata.org/entity/Q159	http://www.wikidata.org/entity/Q5499	85.4	16.8594	[99, 100, 98, 61, 69]
33	british_airways	aeroflot	British Airways	Aeroflot	http://www.wikidata.org/entity/Q8766	http://www.wikidata.org/entity/Q58707	85.4	11.3066	[75, 94, 100, 70, 88]
34	vatican_museums	roman_catholic_church	Vatican Museums	Catholic Church	http://www.wikidata.org/entity/Q182955	http://www.wikidata.org/entity/Q9592	85.25	15.1719	[59, 94, 95, 93]
35	danube	river_thames	Danube	River Thames	http://www.wikidata.org/entity/Q1653	http://www.wikidata.org/entity/Q19686	84.6	10.0717	[88, 98, 90, 78, 69]
36	danielle_steel	ernest_hemingway	Danielle Steel	Ernest Hemingway	http://www.wikidata.org/entity/Q72653	http://www.wikidata.org/entity/Q23434	84.25	12.696	[100, 66, 91, 80]
37	greece	mount_olympus	Greece	Mount Olympus	http://www.wikidata.org/entity/Q41	http://www.wikidata.org/entity/Q80344	84.2	10.245	[92, 94, 78, 67, 90]
38	puerto_rico	cuba	Puerto Rico	Cuba	http://www.wikidata.org/entity/Q1183	http://www.wikidata.org/entity/Q241	83.2	12.4804	[71, 86, 100, 92, 67]
39	jon_stewart	glenn_beck	Jon Stewart	Glenn Beck	http://www.wikidata.org/entity/Q211987	http://www.wikidata.org/entity/Q310618	81.75	12.696	[86, 64, 99, 78]
40	maya_angelou	bell_hooks	Maya Angelou	bell hooks	http://www.wikidata.org/entity/Q19526	http://www.wikidata.org/entity/Q259507	81.6	9.3936	[64, 82, 91, 83, 88]
41	denmark	europe	Denmark	Europe	http://www.wikidata.org/entity/Q35	http://www.wikidata.org/entity/Q46	81.0	19.0683	[95, 96, 53, 63, 98]
42	aristotle	greece	Aristotle	Greece	http://www.wikidata.org/entity/Q868	http://www.wikidata.org/entity/Q41	81.0	25.7449	[31, 97, 100, 95, 82]
43	martin_luther_king,_jr.	rosa_parks	Martin Luther King, Jr.	Rosa Parks	http://www.wikidata.org/entity/Q8027	http://www.wikidata.org/entity/Q41921	80.6	7.0029	[90, 85, 73, 72, 83]
44	karl_marx	joseph_stalin	Karl Marx	Joseph Stalin	http://www.wikidata.org/entity/Q9061	http://www.wikidata.org/entity/Q855	80.25	16.0059	[94, 98, 68, 61]
45	barack_obama	john_mccain	Barack Obama	John McCain	http://www.wikidata.org/entity/Q76	http://www.wikidata.org/entity/Q10390	79.8	8.1339	[84, 79, 72, 71, 93]
46	matterhorn	mount_everest	Matterhorn	Mount Everest	http://www.wikidata.org/entity/Q1374	http://www.wikidata.org/entity/Q513	79.75	12.1321	[72, 100, 78, 69]
47	leon_trotsky	fyodor_dostoyevsky	Leon Trotsky	Fyodor Dostoyevsky	http://www.wikidata.org/entity/Q33391	http://www.wikidata.org/entity/Q991	79.4	9.1782	[89, 70, 73, 73, 92]
48	bugatti	chrysler	Bugatti	Chrysler	http://www.wikidata.org/entity/Q27401	http://www.wikidata.org/entity/Q181114	78.5	7.433	[88, 83, 69, 74]
49	daniel_radcliffe	matt_damon	Daniel Radcliffe	Matt Damon	http://www.wikidata.org/entity/Q38119	http://www.wikidata.org/entity/Q175535	78.5	9.0139	[85, 87, 64, 78]
50	minas_tirith	minas_morgul	Minas Tirith	Minas Morgul	http://www.wikidata.org/entity/Q213586	http://www.wikidata.org/entity/Q308661	77.8	38.9379	[95, 96, 100, 0, 98]
51	iceland	greenland	Iceland	Greenland	http://www.wikidata.org/entity/Q189	http://www.wikidata.org/entity/Q223	77.75	4.603	[78, 84, 78, 71]
52	william_shatner	george_takei	William Shatner	George Takei	http://www.wikidata.org/entity/Q16297	http://www.wikidata.org/entity/Q110154	77.75	11.9033	[81, 79, 59, 92]
53	brazil	bric	Brazil	BRIC	http://www.wikidata.org/entity/Q155	http://www.wikidata.org/entity/Q833202	77.25	29.2436	[100, 27, 91, 91]
54	shanghai_sharks	phoenix_suns	Shanghai Sharks	Phoenix Suns	http://www.wikidata.org/entity/Q2502166	http://www.wikidata.org/entity/Q164177	76.4	21.8961	[95, 100, 38, 77, 72]
55	volga_river	dnieper_river	Volga River	Dnieper	http://www.wikidata.org/entity/Q626	http://www.wikidata.org/entity/Q40855	76.0	38.5175	[97, 100, 0, 83, 100]
56	american_civil_liberties_union	national_association_for_the_advancement_of_colored_people	American Civil Liberties Union	National Association for the Advancement of Colored People	http://www.wikidata.org/entity/Q21637	http://www.wikidata.org/entity/Q502044	76.0	14.4741	[93, 86, 69, 56]
57	jane_austen	edgar_allan_poe	Jane Austen	Edgar Allan Poe	http://www.wikidata.org/entity/Q36322	http://www.wikidata.org/entity/Q16867	75.5	10.9659	[81, 90, 61, 70]
58	american_red_cross	american_heart_association	American Red Cross	American Heart Association	http://www.wikidata.org/entity/Q470110	http://www.wikidata.org/entity/Q464880	75.5	12.7574	[59, 69, 81, 93]
59	new_jersey	princeton_university	New Jersey	Princeton University	http://www.wikidata.org/entity/Q1408	http://www.wikidata.org/entity/Q21578	75.25	26.64	[30, 82, 96, 93]
60	shanghai_art_museum	shanghai	Shanghai art museum	Shanghai		http://www.wikidata.org/entity/Q8686	75.2	33.5285	[100, 14, 98, 64, 100]
61	royal_swedish_academy_of_sciences	indian_institutes_of_technology	Royal Swedish Academy of Sciences	Indian Institutes of Technology	http://www.wikidata.org/entity/Q191583	http://www.wikidata.org/entity/Q622358	75.2	12.9831	[69, 100, 62, 73, 72]
62	ivan_the_terrible	russia	Ivan the Terrible	Russia	http://www.wikidata.org/entity/Q7996	http://www.wikidata.org/entity/Q159	75.0	27.2029	[97, 29, 93, 81]
63	lionel_messi	derek_jeter	Lionel Messi	Derek Jeter	http://www.wikidata.org/entity/Q615	http://www.wikidata.org/entity/Q353511	75.0	14.519	[64, 83, 100, 65, 63]
64	silvio_berlusconi	ronald_reagan	Silvio Berlusconi	Ronald Reagan	http://www.wikidata.org/entity/Q11860	http://www.wikidata.org/entity/Q9960	74.8	19.4155	[59, 57, 97, 61, 100]
65	norway	denmark	Norway	Denmark	http://www.wikidata.org/entity/Q20	http://www.wikidata.org/entity/Q35	74.5	9.1241	[75, 60, 78, 85]
66	german_army	spanish_navy	German Army	Spanish Navy	http://www.wikidata.org/entity/Q11322507	http://www.wikidata.org/entity/Q676404	74.5	34.471	[92, 99, 15, 92]
67	mikhail_bulgakov_museum	moscow	Mikhail Bulgakov Museum	Moscow		http://www.wikidata.org/entity/Q649	74.25	31.5941	[20, 88, 99, 90]
68	barack_obama	hillary_rodham_clinton	Barack Obama	Hillary Rodham Clinton	http://www.wikidata.org/entity/Q76	http://www.wikidata.org/entity/Q6294	74.25	13.4977	[84, 60, 62, 91]
69	christ	gautama_buddha	Jesus	Gautama Buddha	http://www.wikidata.org/entity/Q302	http://www.wikidata.org/entity/Q9441	74.2	12.4643	[75, 54, 86, 88, 68]
70	ben_affleck	rosario_dawson	Ben Affleck	Rosario Dawson	http://www.wikidata.org/entity/Q483118	http://www.wikidata.org/entity/Q228692	74.0	15.1658	[86, 48, 82, 80]
71	hirohito	tokyo	Hirohito	Tokyo	http://www.wikidata.org/entity/Q34479	http://www.wikidata.org/entity/Q1490	73.6	30.3486	[100, 21, 91, 58, 98]
72	johann_sebastian_bach	claude_debussy	Johann Sebastian Bach	Claude Debussy	http://www.wikidata.org/entity/Q1339	http://www.wikidata.org/entity/Q4700	73.0	25.5969	[76, 25, 88, 76, 100]
73	iran	university_of_tehran	Iran	University of Tehran	http://www.wikidata.org/entity/Q794		72.2	26.2023	[96, 100, 28, 61, 76]
74	singapore	laos	Singapore	Laos	http://www.wikidata.org/entity/Q334	http://www.wikidata.org/entity/Q819	71.5	21.6852	[79, 100, 40, 67]
75	ottoman_empire	turkey	Ottoman Empire	Turkey	http://www.wikidata.org/entity/Q12560	http://www.wikidata.org/entity/Q43	71.2	30.9218	[72, 12, 100, 84, 88]
76	muhammad_ali	world_boxing_organization	Muhammad Ali	World Boxing Organization	http://www.wikidata.org/entity/Q36107	http://www.wikidata.org/entity/Q830940	71.0	16.568	[89, 53, 56, 86]
77	ralph_lauren	karl_lagerfeld	Ralph Lauren	Karl Lagerfeld	http://www.wikidata.org/entity/Q296647	http://www.wikidata.org/entity/Q76716	70.5	19.78	[42, 79, 96, 65]
78	julius_caesar	roman_army	Julius Caesar	Roman army	http://www.wikidata.org/entity/Q1048	http://www.wikidata.org/entity/Q1114493	69.75	26.09	[29, 65, 94, 91]
79	canada	greenland	Canada	Greenland	http://www.wikidata.org/entity/Q16	http://www.wikidata.org/entity/Q223	69.75	17.181	[40, 79, 80, 80]
80	sergei_rachmaninoff	johann_sebastian_bach	Sergei Rachmaninoff	Johann Sebastian Bach	http://www.wikidata.org/entity/Q131861	http://www.wikidata.org/entity/Q1339	69.25	22.3984	[92, 55, 90, 40]
81	qianlong_emperor	cao_cao	Qianlong Emperor	Cao Cao	http://www.wikidata.org/entity/Q19133	http://www.wikidata.org/entity/Q204077	69.2	35.335	[85, 80, 100, 0, 81]
82	lionel_messi	wayne_gretzky	Lionel Messi	Wayne Gretzky	http://www.wikidata.org/entity/Q615	http://www.wikidata.org/entity/Q209518	68.75	26.6024	[84, 99, 28, 64]
83	lionel_messi	fifa	Lionel Messi	FIFA	http://www.wikidata.org/entity/Q615	http://www.wikidata.org/entity/Q253414	68.6	19.4381	[87, 36, 59, 73, 88]
84	national_collegiate_athletic_association	united_states_olympic_committee	National Collegiate Athletic Association	United States Olympic Committee	http://www.wikidata.org/entity/Q271805		68.6	20.7615	[41, 100, 80, 52, 70]
